,t_vals,flux_ratio_vals
3222,16210,0.5902400653176426
3223,16215,0.590233731596303
3224,16220,0.5902274019823113
3225,16225,0.590221076471679
3226,16230,0.5902147550604231
3227,16235,0.590208437744565
3228,16240,0.5902021245201313
3229,16245,0.5901958153831546
3230,16250,0.5901895103296716
3231,16255,0.5901832093557245
3232,16260,0.5901769124573608
3233,16265,0.5901706196306329
3234,16270,0.5901643308715984
3235,16275,0.5901580461763197
3236,16280,0.5901517655408647
3237,16285,0.5901454889613061
3238,16290,0.5901392164337217
3239,16295,0.590132947954194
3240,16300,0.5901266835188116
3241,16305,0.5901204231236669
3242,16310,0.5901141667648578
3243,16315,0.5901079144384876
3244,16320,0.5901016661406641
3245,16325,0.5900954218675002
3246,16330,0.5900891816151141
3247,16335,0.5900829453796288
3248,16340,0.5900767131571719
3249,16345,0.5900704849438764
3250,16350,0.5900642607358801
3251,16355,0.5900580405293262
3252,16360,0.590051824320362
3253,16365,0.5900456121051406
3254,16370,0.5900394038798192
3255,16375,0.5900331996405606
3256,16380,0.5900269993835324
3257,16385,0.5900208031049066
3258,16390,0.5900146108008606
3259,16395,0.5900084224675767
3260,16400,0.5900022381012419
3261,16405,0.5899960576980477
3262,16410,0.5899898812541915
3263,16415,0.5899837087658747
3264,16420,0.5899775402293036
3265,16425,0.5899713756406896
3266,16430,0.5899652149962488
3267,16435,0.5899590582922024
3268,16440,0.5899529055247763
3269,16445,0.5899467566902007
3270,16450,0.5899406117847114
3271,16455,0.5899344708045484
3272,16460,0.5899283337459569
3273,16465,0.5899222006051864
3274,16470,0.5899160713784919
3275,16475,0.5899099460621323
3276,16480,0.589903824652372
3277,16485,0.5898977071454796
3278,16490,0.589891593537729
3279,16495,0.5898854838253982
3280,16500,0.5898793780047707
3281,16505,0.5898732760721338
3282,16510,0.5898671780237802
3283,16515,0.5898610838560069
3284,16520,0.5898549935651162
3285,16525,0.5898489071474146
3286,16530,0.5898428245992128
3287,16535,0.5898367459168276
3288,16540,0.5898306710965789
3289,16545,0.5898246001347924
3290,16550,0.589818533027798
3291,16555,0.58981246977193
3292,16560,0.5898064103635281
3293,16565,0.5898003547989357
3294,16570,0.5897943030745015
3295,16575,0.5897882551865786
3296,16580,0.5897822111315246
3297,16585,0.589776170905702
3298,16590,0.5897701345054776
